Date,Closing price
4/3/18,11512.60
5/3/18,11573.30
6/3/18,10779.90
7/3/18,9965.57
8/3/18,9395.01
9/3/18,9337.55
10/3/18,8866.00
11/3/18,9578.63
12/3/18,9205.12
13/3/18,9194.85
