"Date","Close"
"2013-04-27","  134.21"
"2013-04-28","  144.54"
"2013-04-29","  139.00"
"2013-04-30","  116.99"
"2013-05-01","  105.21"
"2013-05-02","   97.75"
"2013-05-03","  112.50"
"2013-05-04","  115.91"
"2013-05-05","  112.30"
"2013-05-06","  111.50"
"2013-05-07","  113.57"
"2013-05-08","  112.67"
"2013-05-09","  117.20"
"2013-05-10","  115.24"
"2013-05-11","  115.00"
"2013-05-12","  117.98"
"2013-05-13","  111.50"
"2013-05-14","  114.22"
"2013-05-15","  118.76"
"2013-05-16","  123.02"
"2013-05-17","  123.50"
"2013-05-18","  121.99"
"2013-05-19","  122.00"
"2013-05-20","  122.88"
"2013-05-21","  123.89"
"2013-05-22","  126.70"
"2013-05-23","  133.20"
"2013-05-24","  131.98"
"2013-05-25","  133.48"
"2013-05-26","  129.75"
"2013-05-27","  129.00"
"2013-05-28","  132.30"
"2013-05-29","  128.80"
"2013-05-30","  129.00"
"2013-05-31","  129.30"
"2013-06-01","  122.29"
"2013-06-02","  122.22"
"2013-06-03","  121.42"
"2013-06-04","  121.65"
"2013-06-05","  118.00"
"2013-06-06","  111.50"
"2013-06-07","  108.30"
"2013-06-08","  100.00"
"2013-06-09","  106.35"
"2013-06-10","  108.90"
"2013-06-11","  108.15"
"2013-06-12","  104.00"
"2013-06-13","   99.98"
"2013-06-14","   99.99"
"2013-06-15","   99.51"
"2013-06-16","  101.70"
"2013-06-17","  107.40"
"2013-06-18","  108.25"
"2013-06-19","  110.15"
"2013-06-20","  109.50"
"2013-06-21","  108.30"
"2013-06-22","  107.60"
"2013-06-23","  102.74"
"2013-06-24","  103.95"
"2013-06-25","  104.00"
"2013-06-26","  101.44"
"2013-06-27","   94.65"
"2013-06-28","   94.99"
"2013-06-29","   96.61"
"2013-06-30","   88.05"
"2013-07-01","   90.13"
"2013-07-02","   77.53"
"2013-07-03","   80.53"
"2013-07-04","   68.43"
"2013-07-05","   70.28"
"2013-07-06","   74.56"
"2013-07-07","   76.52"
"2013-07-08","   76.69"
"2013-07-09","   86.76"
"2013-07-10","   88.98"
"2013-07-11","   93.59"
"2013-07-12","   98.13"
"2013-07-13","   94.69"
"2013-07-14","   98.40"
"2013-07-15","   97.45"
"2013-07-16","   98.50"
"2013-07-17","   90.58"
"2013-07-18","   92.17"
"2013-07-19","   89.39"
"2013-07-20","   90.76"
"2013-07-21","   91.61"
"2013-07-22","   95.56"
"2013-07-23","   94.51"
"2013-07-24","   96.90"
"2013-07-25","   96.02"
"2013-07-26","   94.12"
"2013-07-27","   99.76"
"2013-07-28","  101.20"
"2013-07-29","  107.99"
"2013-07-30","  106.09"
"2013-07-31","  104.00"
"2013-08-01","  104.50"
"2013-08-02","  104.00"
"2013-08-03","  105.14"
"2013-08-04","  106.22"
"2013-08-05","  106.75"
"2013-08-06","  106.75"
"2013-08-07","  103.00"
"2013-08-08","  102.80"
"2013-08-09","  103.00"
"2013-08-10","  105.00"
"2013-08-11","  106.64"
"2013-08-12","  109.00"
"2013-08-13","  112.56"
"2013-08-14","  109.99"
"2013-08-15","  108.99"
"2013-08-16","  113.50"
"2013-08-17","  113.50"
"2013-08-18","  119.00"
"2013-08-19","  121.20"
"2013-08-20","  123.30"
"2013-08-21","  121.15"
"2013-08-22","  118.50"
"2013-08-23","  120.05"
"2013-08-24","  122.11"
"2013-08-25","  120.06"
"2013-08-26","  126.50"
